agent,week,left_run,right_run,shingle_jaccard
Alessandro Vieri,13,Run 1,Run 2,0.007722
Alessandro Vieri,14,Run 1,Run 2,0.003636
Alessandro Vieri,15,Run 1,Run 2,0.0
Alessandro Vieri,16,Run 1,Run 2,0.007491
Alessandro Vieri,17,Run 1,Run 2,0.003546
Alessandro Vieri,18,Run 1,Run 2,0.0
Alessandro Vieri,19,Run 1,Run 2,0.0
Alessandro Vieri,20,Run 1,Run 2,0.0
Alessandro Vieri,21,Run 1,Run 2,0.007299
Alessandro Vieri,22,Run 1,Run 2,0.0
Alessandro Vieri,23,Run 1,Run 2,0.0
Alessandro Vieri,24,Run 1,Run 2,0.0
Alessandro Vieri,25,Run 1,Run 2,0.003497
Alessandro Vieri,26,Run 1,Run 2,0.0
Alessandro Vieri,27,Run 1,Run 2,0.0
Alessandro Vieri,28,Run 1,Run 2,0.0
Alessandro Vieri,29,Run 1,Run 2,0.0
Alessandro Vieri,30,Run 1,Run 2,0.003597
Alessandro Vieri,31,Run 1,Run 2,0.0
Alessandro Vieri,32,Run 1,Run 2,0.007463
Alessandro Vieri,33,Run 1,Run 2,0.0
Alessandro Vieri,34,Run 1,Run 2,0.0
Alessandro Vieri,35,Run 1,Run 2,0.0
Alessandro Vieri,36,Run 1,Run 2,0.010204
Alessandro Vieri,37,Run 1,Run 2,0.0
Alessandro Vieri,38,Run 1,Run 2,0.0
Alessandro Vieri,39,Run 1,Run 2,0.0
Alessandro Vieri,40,Run 1,Run 2,0.0
Alessandro Vieri,41,Run 1,Run 2,0.0
Alessandro Vieri,42,Run 1,Run 2,0.024476
Alessandro Vieri,43,Run 1,Run 2,0.0
Alessandro Vieri,44,Run 1,Run 2,0.0
Alessandro Vieri,45,Run 1,Run 2,0.013514
Alessandro Vieri,46,Run 1,Run 2,0.0
Alessandro Vieri,47,Run 1,Run 2,0.0
Alessandro Vieri,1,Run 1,Run 3,0.02069
Alessandro Vieri,2,Run 1,Run 3,0.010274
Alessandro Vieri,3,Run 1,Run 3,0.0
Alessandro Vieri,4,Run 1,Run 3,0.0
Alessandro Vieri,5,Run 1,Run 3,0.0
Alessandro Vieri,6,Run 1,Run 3,0.0
Alessandro Vieri,7,Run 1,Run 3,0.0
Alessandro Vieri,8,Run 1,Run 3,0.0
Alessandro Vieri,9,Run 1,Run 3,0.0
Alessandro Vieri,10,Run 1,Run 3,0.007435
Alessandro Vieri,11,Run 1,Run 3,0.0
Alessandro Vieri,12,Run 1,Run 3,0.003509
Alessandro Vieri,13,Run 1,Run 3,0.0
Alessandro Vieri,14,Run 1,Run 3,0.007435
Alessandro Vieri,15,Run 1,Run 3,0.0
Alessandro Vieri,16,Run 1,Run 3,0.0
Alessandro Vieri,17,Run 1,Run 3,0.0
Alessandro Vieri,18,Run 1,Run 3,0.0
Alessandro Vieri,19,Run 1,Run 3,0.0
Alessandro Vieri,20,Run 1,Run 3,0.0
Alessandro Vieri,21,Run 1,Run 3,0.0
Alessandro Vieri,22,Run 1,Run 3,0.007018
Alessandro Vieri,23,Run 1,Run 3,0.0
Alessandro Vieri,24,Run 1,Run 3,0.0
Alessandro Vieri,25,Run 1,Run 3,0.007042
Alessandro Vieri,26,Run 1,Run 3,0.0
Alessandro Vieri,27,Run 1,Run 3,0.0
Alessandro Vieri,28,Run 1,Run 3,0.0
Alessandro Vieri,29,Run 1,Run 3,0.0
Alessandro Vieri,30,Run 1,Run 3,0.0
Alessandro Vieri,31,Run 1,Run 3,0.007435
Alessandro Vieri,32,Run 1,Run 3,0.0
Alessandro Vieri,33,Run 1,Run 3,0.003623
Alessandro Vieri,34,Run 1,Run 3,0.0
Alessandro Vieri,35,Run 1,Run 3,0.0
Alessandro Vieri,36,Run 1,Run 3,0.007246
Alessandro Vieri,37,Run 1,Run 3,0.0
Alessandro Vieri,38,Run 1,Run 3,0.011236
Alessandro Vieri,39,Run 1,Run 3,0.0
Alessandro Vieri,40,Run 1,Run 3,0.0
Alessandro Vieri,41,Run 1,Run 3,0.0
Alessandro Vieri,42,Run 1,Run 3,0.0
Alessandro Vieri,43,Run 1,Run 3,0.0
Alessandro Vieri,44,Run 1,Run 3,0.0
Alessandro Vieri,45,Run 1,Run 3,0.010204
Alessandro Vieri,1,Run 2,Run 3,0.0
Alessandro Vieri,2,Run 2,Run 3,0.0
Alessandro Vieri,3,Run 2,Run 3,0.0
Alessandro Vieri,4,Run 2,Run 3,0.011494
Alessandro Vieri,5,Run 2,Run 3,0.0
Alessandro Vieri,6,Run 2,Run 3,0.00361
Alessandro Vieri,7,Run 2,Run 3,0.0
Alessandro Vieri,8,Run 2,Run 3,0.010714
Alessandro Vieri,9,Run 2,Run 3,0.0
Alessandro Vieri,10,Run 2,Run 3,0.0
Alessandro Vieri,11,Run 2,Run 3,0.0
Alessandro Vieri,12,Run 2,Run 3,0.0
Alessandro Vieri,13,Run 2,Run 3,0.0
Alessandro Vieri,14,Run 2,Run 3,0.0
Alessandro Vieri,15,Run 2,Run 3,0.0
Alessandro Vieri,16,Run 2,Run 3,0.0
Alessandro Vieri,17,Run 2,Run 3,0.0
Alessandro Vieri,18,Run 2,Run 3,0.0
Alessandro Vieri,19,Run 2,Run 3,0.0
Alessandro Vieri,20,Run 2,Run 3,0.0
Alessandro Vieri,21,Run 2,Run 3,0.0
Alessandro Vieri,22,Run 2,Run 3,0.0
Alessandro Vieri,23,Run 2,Run 3,0.0
Alessandro Vieri,24,Run 2,Run 3,0.0
Alessandro Vieri,25,Run 2,Run 3,0.0
Alessandro Vieri,26,Run 2,Run 3,0.0
Alessandro Vieri,27,Run 2,Run 3,0.0
Alessandro Vieri,28,Run 2,Run 3,0.0
Alessandro Vieri,29,Run 2,Run 3,0.0
Alessandro Vieri,30,Run 2,Run 3,0.00738
Alessandro Vieri,31,Run 2,Run 3,0.007491
Alessandro Vieri,32,Run 2,Run 3,0.0
Alessandro Vieri,33,Run 2,Run 3,0.0
Alessandro Vieri,34,Run 2,Run 3,0.0
Alessandro Vieri,35,Run 2,Run 3,0.0
Alessandro Vieri,36,Run 2,Run 3,0.0
Alessandro Vieri,37,Run 2,Run 3,0.0
Alessandro Vieri,38,Run 2,Run 3,0.0
Alessandro Vieri,39,Run 2,Run 3,0.0
Alessandro Vieri,40,Run 2,Run 3,0.0
Alessandro Vieri,41,Run 2,Run 3,0.0
Alessandro Vieri,42,Run 2,Run 3,0.0
Alessandro Vieri,43,Run 2,Run 3,0.0
Alessandro Vieri,44,Run 2,Run 3,0.0
Alessandro Vieri,45,Run 2,Run 3,0.009868
