agent,week,left_run,right_run,shingle_jaccard
Aaron Whitfield,14,Run 2,Run 3,0.0
Aaron Whitfield,15,Run 2,Run 3,0.014652
Aaron Whitfield,16,Run 2,Run 3,0.018519
Aaron Whitfield,17,Run 2,Run 3,0.003546
Aaron Whitfield,18,Run 2,Run 3,0.0
Aaron Whitfield,19,Run 2,Run 3,0.011152
Aaron Whitfield,20,Run 2,Run 3,0.0
Aaron Whitfield,21,Run 2,Run 3,0.0
Aaron Whitfield,22,Run 2,Run 3,0.003717
Aaron Whitfield,23,Run 2,Run 3,0.0
Aaron Whitfield,24,Run 2,Run 3,0.0
Aaron Whitfield,25,Run 2,Run 3,0.007299
Aaron Whitfield,26,Run 2,Run 3,0.0
Aaron Whitfield,27,Run 2,Run 3,0.010676
Aaron Whitfield,28,Run 2,Run 3,0.006803
Aaron Whitfield,29,Run 2,Run 3,0.0
Aaron Whitfield,30,Run 2,Run 3,0.0
Aaron Whitfield,31,Run 2,Run 3,0.003378
Aaron Whitfield,32,Run 2,Run 3,0.0
Aaron Whitfield,33,Run 2,Run 3,0.0
Aaron Whitfield,34,Run 2,Run 3,0.0
Aaron Whitfield,35,Run 2,Run 3,0.0
Aaron Whitfield,36,Run 2,Run 3,0.0
Aaron Whitfield,37,Run 2,Run 3,0.003717
Aaron Whitfield,38,Run 2,Run 3,0.007194
Aaron Whitfield,39,Run 2,Run 3,0.0
Aaron Whitfield,40,Run 2,Run 3,0.0
Aaron Whitfield,41,Run 2,Run 3,0.0
Aaron Whitfield,42,Run 2,Run 3,0.0
Aaron Whitfield,43,Run 2,Run 3,0.044944
Aaron Whitfield,44,Run 2,Run 3,0.003623
Aaron Whitfield,45,Run 2,Run 3,0.0
Adrian Morales,1,Run 1,Run 2,0.010753
Adrian Morales,2,Run 1,Run 2,0.007273
Adrian Morales,3,Run 1,Run 2,0.0
Adrian Morales,4,Run 1,Run 2,0.0
Adrian Morales,5,Run 1,Run 2,0.0
Adrian Morales,6,Run 1,Run 2,0.0
Adrian Morales,7,Run 1,Run 2,0.003311
Adrian Morales,8,Run 1,Run 2,0.0
Adrian Morales,9,Run 1,Run 2,0.010714
Adrian Morales,10,Run 1,Run 2,0.0
Adrian Morales,11,Run 1,Run 2,0.007491
Adrian Morales,12,Run 1,Run 2,0.0
Adrian Morales,13,Run 1,Run 2,0.014184
Adrian Morales,14,Run 1,Run 2,0.0
Adrian Morales,15,Run 1,Run 2,0.0
Adrian Morales,16,Run 1,Run 2,0.0
Adrian Morales,17,Run 1,Run 2,0.010638
Adrian Morales,18,Run 1,Run 2,0.0
Adrian Morales,19,Run 1,Run 2,0.0
Adrian Morales,20,Run 1,Run 2,0.023529
Adrian Morales,21,Run 1,Run 2,0.0
Adrian Morales,22,Run 1,Run 2,0.0
Adrian Morales,23,Run 1,Run 2,0.0
Adrian Morales,24,Run 1,Run 2,0.0
Adrian Morales,25,Run 1,Run 2,0.0
Adrian Morales,26,Run 1,Run 2,0.0
Adrian Morales,27,Run 1,Run 2,0.010949
Adrian Morales,28,Run 1,Run 2,0.0
Adrian Morales,29,Run 1,Run 2,0.0
Adrian Morales,30,Run 1,Run 2,0.0
Adrian Morales,31,Run 1,Run 2,0.011111
Adrian Morales,32,Run 1,Run 2,0.0
Adrian Morales,33,Run 1,Run 2,0.003509
Adrian Morales,34,Run 1,Run 2,0.0
Adrian Morales,35,Run 1,Run 2,0.0
Adrian Morales,36,Run 1,Run 2,0.007246
Adrian Morales,37,Run 1,Run 2,0.017986
Adrian Morales,38,Run 1,Run 2,0.0
Adrian Morales,39,Run 1,Run 2,0.0
Adrian Morales,40,Run 1,Run 2,0.0
Adrian Morales,41,Run 1,Run 2,0.0
Adrian Morales,42,Run 1,Run 2,0.0
Adrian Morales,43,Run 1,Run 2,0.0
Adrian Morales,44,Run 1,Run 2,0.0
Adrian Morales,45,Run 1,Run 2,0.0
Adrian Morales,46,Run 1,Run 2,0.011321
Adrian Morales,47,Run 1,Run 2,0.0
Adrian Morales,1,Run 1,Run 3,0.0
Adrian Morales,2,Run 1,Run 3,0.025362
Adrian Morales,3,Run 1,Run 3,0.007491
Adrian Morales,4,Run 1,Run 3,0.0
Adrian Morales,5,Run 1,Run 3,0.0
Adrian Morales,6,Run 1,Run 3,0.0
Adrian Morales,7,Run 1,Run 3,0.0
Adrian Morales,8,Run 1,Run 3,0.0
Adrian Morales,9,Run 1,Run 3,0.0
Adrian Morales,10,Run 1,Run 3,0.007092
Adrian Morales,11,Run 1,Run 3,0.007407
Adrian Morales,12,Run 1,Run 3,0.0
Adrian Morales,13,Run 1,Run 3,0.0
Adrian Morales,14,Run 1,Run 3,0.010204
Adrian Morales,15,Run 1,Run 3,0.0
Adrian Morales,16,Run 1,Run 3,0.010381
Adrian Morales,17,Run 1,Run 3,0.0
Adrian Morales,18,Run 1,Run 3,0.007547
Adrian Morales,19,Run 1,Run 3,0.0
Adrian Morales,20,Run 1,Run 3,0.0
Adrian Morales,21,Run 1,Run 3,0.0
Adrian Morales,22,Run 1,Run 3,0.007273
Adrian Morales,23,Run 1,Run 3,0.00692
Adrian Morales,24,Run 1,Run 3,0.003534
Adrian Morales,25,Run 1,Run 3,0.0
Adrian Morales,26,Run 1,Run 3,0.0
Adrian Morales,27,Run 1,Run 3,0.0
Adrian Morales,28,Run 1,Run 3,0.0
Adrian Morales,29,Run 1,Run 3,0.0
Adrian Morales,30,Run 1,Run 3,0.0
Adrian Morales,31,Run 1,Run 3,0.0
Adrian Morales,32,Run 1,Run 3,0.0
Adrian Morales,33,Run 1,Run 3,0.0
Adrian Morales,34,Run 1,Run 3,0.0
Adrian Morales,35,Run 1,Run 3,0.0
Adrian Morales,36,Run 1,Run 3,0.00346
Adrian Morales,37,Run 1,Run 3,0.0
Adrian Morales,38,Run 1,Run 3,0.003831
Adrian Morales,39,Run 1,Run 3,0.0
Adrian Morales,40,Run 1,Run 3,0.0
Adrian Morales,41,Run 1,Run 3,0.0
Adrian Morales,42,Run 1,Run 3,0.0
Adrian Morales,43,Run 1,Run 3,0.0
Adrian Morales,44,Run 1,Run 3,0.0
Adrian Morales,45,Run 1,Run 3,0.0
Adrian Morales,1,Run 2,Run 3,0.0
Adrian Morales,2,Run 2,Run 3,0.014925
Adrian Morales,3,Run 2,Run 3,0.0
Adrian Morales,4,Run 2,Run 3,0.0
Adrian Morales,5,Run 2,Run 3,0.0
Adrian Morales,6,Run 2,Run 3,0.0
Adrian Morales,7,Run 2,Run 3,0.00339
Adrian Morales,8,Run 2,Run 3,0.0
Adrian Morales,9,Run 2,Run 3,0.0
Adrian Morales,10,Run 2,Run 3,0.0
Adrian Morales,11,Run 2,Run 3,0.0
Adrian Morales,12,Run 2,Run 3,0.0
Adrian Morales,13,Run 2,Run 3,0.0
Adrian Morales,14,Run 2,Run 3,0.0
Adrian Morales,15,Run 2,Run 3,0.0
Adrian Morales,16,Run 2,Run 3,0.011194
Adrian Morales,17,Run 2,Run 3,0.003401
Adrian Morales,18,Run 2,Run 3,0.0
Adrian Morales,19,Run 2,Run 3,0.022222
Adrian Morales,20,Run 2,Run 3,0.0
Adrian Morales,21,Run 2,Run 3,0.0
Adrian Morales,22,Run 2,Run 3,0.0
Adrian Morales,23,Run 2,Run 3,0.0
Adrian Morales,24,Run 2,Run 3,0.013793
Adrian Morales,25,Run 2,Run 3,0.0
Adrian Morales,26,Run 2,Run 3,0.029963
Adrian Morales,27,Run 2,Run 3,0.0
Adrian Morales,28,Run 2,Run 3,0.0
Adrian Morales,29,Run 2,Run 3,0.00692
Adrian Morales,30,Run 2,Run 3,0.010417
Adrian Morales,31,Run 2,Run 3,0.0
Adrian Morales,32,Run 2,Run 3,0.014652
Adrian Morales,33,Run 2,Run 3,0.0
Adrian Morales,34,Run 2,Run 3,0.0
Adrian Morales,35,Run 2,Run 3,0.0
Adrian Morales,36,Run 2,Run 3,0.014706
Adrian Morales,37,Run 2,Run 3,0.010791
Adrian Morales,38,Run 2,Run 3,0.0
Adrian Morales,39,Run 2,Run 3,0.0
Adrian Morales,40,Run 2,Run 3,0.0
Adrian Morales,41,Run 2,Run 3,0.0
Adrian Morales,42,Run 2,Run 3,0.0
Adrian Morales,43,Run 2,Run 3,0.0
Adrian Morales,44,Run 2,Run 3,0.010563
Adrian Morales,45,Run 2,Run 3,0.0
Adrian Vale,1,Run 1,Run 2,0.0
Adrian Vale,2,Run 1,Run 2,0.01476
Adrian Vale,3,Run 1,Run 2,0.0
Adrian Vale,4,Run 1,Run 2,0.013333
Adrian Vale,5,Run 1,Run 2,0.0
Adrian Vale,6,Run 1,Run 2,0.0
Adrian Vale,7,Run 1,Run 2,0.007117
Adrian Vale,8,Run 1,Run 2,0.0
Adrian Vale,9,Run 1,Run 2,0.0
Adrian Vale,10,Run 1,Run 2,0.019157
Adrian Vale,11,Run 1,Run 2,0.0
Adrian Vale,12,Run 1,Run 2,0.00678
Adrian Vale,13,Run 1,Run 2,0.00346
Adrian Vale,14,Run 1,Run 2,0.0
Adrian Vale,15,Run 1,Run 2,0.003509
Adrian Vale,16,Run 1,Run 2,0.0
Adrian Vale,17,Run 1,Run 2,0.006944
Adrian Vale,18,Run 1,Run 2,0.0
Adrian Vale,19,Run 1,Run 2,0.006897
Adrian Vale,20,Run 1,Run 2,0.0
Adrian Vale,21,Run 1,Run 2,0.003367
Adrian Vale,22,Run 1,Run 2,0.0
Adrian Vale,23,Run 1,Run 2,0.0
Adrian Vale,24,Run 1,Run 2,0.010135
Adrian Vale,25,Run 1,Run 2,0.0
Adrian Vale,26,Run 1,Run 2,0.038869
Adrian Vale,27,Run 1,Run 2,0.010067
Adrian Vale,28,Run 1,Run 2,0.0
Adrian Vale,29,Run 1,Run 2,0.0
Adrian Vale,30,Run 1,Run 2,0.035461
Adrian Vale,31,Run 1,Run 2,0.025547
Adrian Vale,32,Run 1,Run 2,0.0
Adrian Vale,33,Run 1,Run 2,0.017361
Adrian Vale,34,Run 1,Run 2,0.003367
Adrian Vale,35,Run 1,Run 2,0.0
Adrian Vale,36,Run 1,Run 2,0.03125
Adrian Vale,37,Run 1,Run 2,0.017361
Adrian Vale,38,Run 1,Run 2,0.017668
Adrian Vale,39,Run 1,Run 2,0.003378
Adrian Vale,40,Run 1,Run 2,0.0
Adrian Vale,41,Run 1,Run 2,0.0
Adrian Vale,42,Run 1,Run 2,0.0
Adrian Vale,43,Run 1,Run 2,0.0
Adrian Vale,44,Run 1,Run 2,0.0
Adrian Vale,45,Run 1,Run 2,0.0
Adrian Vale,46,Run 1,Run 2,0.014388
Adrian Vale,47,Run 1,Run 2,0.006969
Adrian Vale,1,Run 1,Run 3,0.0
Adrian Vale,2,Run 1,Run 3,0.003717
Adrian Vale,3,Run 1,Run 3,0.0
Adrian Vale,4,Run 1,Run 3,0.016779
Adrian Vale,5,Run 1,Run 3,0.0
Adrian Vale,6,Run 1,Run 3,0.0
Adrian Vale,7,Run 1,Run 3,0.003717
Adrian Vale,8,Run 1,Run 3,0.0
Adrian Vale,9,Run 1,Run 3,0.045283
Adrian Vale,10,Run 1,Run 3,0.0
Adrian Vale,11,Run 1,Run 3,0.0
Adrian Vale,12,Run 1,Run 3,0.0
Adrian Vale,13,Run 1,Run 3,0.003597
Adrian Vale,14,Run 1,Run 3,0.0
Adrian Vale,15,Run 1,Run 3,0.0
Adrian Vale,16,Run 1,Run 3,0.0
Adrian Vale,17,Run 1,Run 3,0.0
Adrian Vale,18,Run 1,Run 3,0.0
Adrian Vale,19,Run 1,Run 3,0.0
Adrian Vale,20,Run 1,Run 3,0.0
Adrian Vale,21,Run 1,Run 3,0.0
Adrian Vale,22,Run 1,Run 3,0.0
Adrian Vale,23,Run 1,Run 3,0.007299
Adrian Vale,24,Run 1,Run 3,0.0
Adrian Vale,25,Run 1,Run 3,0.0
Adrian Vale,26,Run 1,Run 3,0.014337
Adrian Vale,27,Run 1,Run 3,0.0
Adrian Vale,28,Run 1,Run 3,0.006969
Adrian Vale,29,Run 1,Run 3,0.0
Adrian Vale,30,Run 1,Run 3,0.028986
Adrian Vale,31,Run 1,Run 3,0.003636
Adrian Vale,32,Run 1,Run 3,0.0
Adrian Vale,33,Run 1,Run 3,0.0
Adrian Vale,34,Run 1,Run 3,0.017483
Adrian Vale,35,Run 1,Run 3,0.0
Adrian Vale,36,Run 1,Run 3,0.0
Adrian Vale,37,Run 1,Run 3,0.0
Adrian Vale,38,Run 1,Run 3,0.0
Adrian Vale,39,Run 1,Run 3,0.0
Adrian Vale,40,Run 1,Run 3,0.0
Adrian Vale,41,Run 1,Run 3,0.0
Adrian Vale,42,Run 1,Run 3,0.007018
Adrian Vale,43,Run 1,Run 3,0.0
Adrian Vale,44,Run 1,Run 3,0.0
Adrian Vale,45,Run 1,Run 3,0.0
Adrian Vale,1,Run 2,Run 3,0.034091
Adrian Vale,2,Run 2,Run 3,0.003623
Adrian Vale,3,Run 2,Run 3,0.0
Adrian Vale,4,Run 2,Run 3,0.019672
Adrian Vale,5,Run 2,Run 3,0.0
Adrian Vale,6,Run 2,Run 3,0.038911
Adrian Vale,7,Run 2,Run 3,0.0
Adrian Vale,8,Run 2,Run 3,0.0
Adrian Vale,9,Run 2,Run 3,0.030075
Adrian Vale,10,Run 2,Run 3,0.0
Adrian Vale,11,Run 2,Run 3,0.003546
Adrian Vale,12,Run 2,Run 3,0.02974
Adrian Vale,13,Run 2,Run 3,0.0
Adrian Vale,14,Run 2,Run 3,0.007407
Adrian Vale,15,Run 2,Run 3,0.0
Adrian Vale,16,Run 2,Run 3,0.0
Adrian Vale,17,Run 2,Run 3,0.0
Adrian Vale,18,Run 2,Run 3,0.0
Adrian Vale,19,Run 2,Run 3,0.0
Adrian Vale,20,Run 2,Run 3,0.0
Adrian Vale,21,Run 2,Run 3,0.049296
Adrian Vale,22,Run 2,Run 3,0.0
Adrian Vale,23,Run 2,Run 3,0.0
Adrian Vale,24,Run 2,Run 3,0.0
Adrian Vale,25,Run 2,Run 3,0.0
Adrian Vale,26,Run 2,Run 3,0.013746
Adrian Vale,27,Run 2,Run 3,0.0
Adrian Vale,28,Run 2,Run 3,0.003534
Adrian Vale,29,Run 2,Run 3,0.0
Adrian Vale,30,Run 2,Run 3,0.028369
Adrian Vale,31,Run 2,Run 3,0.0
Adrian Vale,32,Run 2,Run 3,0.006689
Adrian Vale,33,Run 2,Run 3,0.0
Adrian Vale,34,Run 2,Run 3,0.0
Adrian Vale,35,Run 2,Run 3,0.007018
Adrian Vale,36,Run 2,Run 3,0.007042
Adrian Vale,37,Run 2,Run 3,0.0
Adrian Vale,38,Run 2,Run 3,0.0
Adrian Vale,39,Run 2,Run 3,0.0
Adrian Vale,40,Run 2,Run 3,0.0
Adrian Vale,41,Run 2,Run 3,0.0
Adrian Vale,42,Run 2,Run 3,0.018939
Adrian Vale,43,Run 2,Run 3,0.0
Adrian Vale,44,Run 2,Run 3,0.0
Adrian Vale,45,Run 2,Run 3,0.0
Alaric Voss,1,Run 1,Run 2,0.0
Alaric Voss,2,Run 1,Run 2,0.0
Alaric Voss,3,Run 1,Run 2,0.006897
Alaric Voss,4,Run 1,Run 2,0.0
Alaric Voss,5,Run 1,Run 2,0.0
Alaric Voss,6,Run 1,Run 2,0.0
Alaric Voss,7,Run 1,Run 2,0.0
Alaric Voss,8,Run 1,Run 2,0.007067
Alaric Voss,9,Run 1,Run 2,0.0
Alaric Voss,10,Run 1,Run 2,0.032258
Alaric Voss,11,Run 1,Run 2,0.007042
Alaric Voss,12,Run 1,Run 2,0.0
Alaric Voss,13,Run 1,Run 2,0.0
Alaric Voss,14,Run 1,Run 2,0.0
Alaric Voss,15,Run 1,Run 2,0.0
Alaric Voss,16,Run 1,Run 2,0.0
Alaric Voss,17,Run 1,Run 2,0.0
Alaric Voss,18,Run 1,Run 2,0.01444
Alaric Voss,19,Run 1,Run 2,0.0
Alaric Voss,20,Run 1,Run 2,0.003571
Alaric Voss,21,Run 1,Run 2,0.010601
Alaric Voss,22,Run 1,Run 2,0.022388
Alaric Voss,23,Run 1,Run 2,0.0
Alaric Voss,24,Run 1,Run 2,0.01444
Alaric Voss,25,Run 1,Run 2,0.007042
Alaric Voss,26,Run 1,Run 2,0.0
Alaric Voss,27,Run 1,Run 2,0.00738
